seqnames	start	end	width	strand	siteCount	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME	state
chr15	40725001	40728400	3400	*	1	Intron (ENST00000423169.6/5888, intron 6 of 8)	15	40736338	40737820	1483	2	55177	ENST00000557831.1	9420	ENSG00000137824	RMDN3	regulator of microtubule dynamics 3	16_ReprPC
chr15	42172601	42175400	2800	*	1	Promoter (2-3kb)	15	42173637	42178338	4702	2	23339	ENST00000570023.1	2938	ENSG00000166887	VPS39	VPS39 subunit of HOPS complex	16_ReprPC
chr15	45422201	45427200	5000	*	1	Downstream (<1kb)	15	45430579	45448761	18183	1	84419	ENST00000558435.5	-3379	ENSG00000166920	C15orf48	chromosome 15 open reading frame 48	16_ReprPC
chr15	53078201	53081200	3000	*	2	Distal Intergenic	15	53116365	53129698	13334	1	105370822	ENST00000559915.1	-35165	ENSG00000259237	LINC02490	long intergenic non-protein coding RNA 2490	16_ReprPC
chr15	53085801	53095800	10000	*	2	Distal Intergenic	15	53116365	53129698	13334	1	105370822	ENST00000559915.1	-20565	ENSG00000259237	LINC02490	long intergenic non-protein coding RNA 2490	16_ReprPC
chr15	60282001	60289400	7400	*	1	Distal Intergenic	15	60351192	60374505	23314	2	302	ENST00000559176.5	85105	ENSG00000182718	ANXA2	annexin A2	16_ReprPC
chr15	65068601	65073400	4800	*	1	Promoter (<=1kb)	15	65053337	65067991	14655	2	51285	ENST00000220062.9	-610	ENSG00000103710	RASL12	RAS like family 12	16_ReprPC
chr15	65664201	65669200	5000	*	1	Promoter (<=1kb)	15	65661821	65664956	3136	2	10260	ENST00000562540.1	0	ENSG00000174485	DENND4A	DENN domain containing 4A	16_ReprPC
chr15	65688401	65693400	5000	*	1	Promoter (<=1kb)	15	65680635	65690538	9904	2	10260	ENST00000567323.2	0	ENSG00000174485	DENND4A	DENN domain containing 4A	16_ReprPC
chr15	72475401	72480800	5400	*	1	Promoter (<=1kb)	15	72474936	72544923	69988	1	25820	ENST00000567762.1	465	ENSG00000166233	ARIH1	ariadne RBR E3 ubiquitin protein ligase 1	16_ReprPC
chr15	74217201	74218800	1600	*	2	Promoter (<=1kb)	15	74217201	74218789	1589	1	80125	ENST00000559243.1	0	ENSG00000140481	CCDC33	coiled-coil domain containing 33	16_ReprPC
chr15	74420601	74428200	7600	*	4	Intron (ENST00000261918.9/8482, intron 1 of 13)	15	74410026	74433704	23679	2	8482	ENST00000542748.6	5504	ENSG00000138623	SEMA7A	semaphorin 7A (John Milton Hagen blood group)	16_ReprPC
chr15	76005401	76006800	1400	*	1	Promoter (2-3kb)	15	76005740	76009295	3556	2	145957	ENST00000568203.1	2495	ENSG00000169752	NRG4	neuregulin 4	16_ReprPC
chr15	76636001	76637800	1800	*	1	Intron (ENST00000563290.6/49855, intron 21 of 31)	15	76471096	76621829	150734	2	49855	ENST00000563688.5	-14172	ENSG00000140386	SCAPER	S-phase cyclin A associated protein in the ER	16_ReprPC
chr15	76639801	76642400	2600	*	1	Intron (ENST00000563290.6/49855, intron 21 of 31)	15	76471096	76621829	150734	2	49855	ENST00000563688.5	-17972	ENSG00000140386	SCAPER	S-phase cyclin A associated protein in the ER	16_ReprPC
chr15	78628601	78632400	3800	*	1	3' UTR	15	78593052	78621295	28244	2	1136	ENST00000348639.7	-7306	ENSG00000080644	CHRNA3	cholinergic receptor nicotinic alpha 3 subunit	16_ReprPC
chr15	78633801	78637000	3200	*	1	3' UTR	15	78624111	78641210	17100	2	1143	ENST00000261751.8	4210	ENSG00000117971	CHRNB4	cholinergic receptor nicotinic beta 4 subunit	16_ReprPC
chr15	79719801	79723800	4000	*	1	Distal Intergenic	15	79889092	79896997	7906	2	10588	ENST00000560919.5	173197	ENSG00000136371	MTHFS	methenyltetrahydrofolate synthetase	16_ReprPC
chr15	79724001	79729200	5200	*	1	Distal Intergenic	15	79889092	79896997	7906	2	10588	ENST00000560919.5	167797	ENSG00000136371	MTHFS	methenyltetrahydrofolate synthetase	16_ReprPC
chr15	88795601	88804400	8800	*	1	Promoter (<=1kb)	15	88797413	88798734	1322	2	105370960	ENST00000561358.1	0	NA	LOC105370960	uncharacterized LOC105370960	16_ReprPC
chr15	89903001	89905200	2200	*	1	Promoter (<=1kb)	15	89865461	89903365	37905	2	100526783	ENST00000560224.1	0	ENSG00000250021	ARPIN-AP3S2	ARPIN-AP3S2 readthrough	16_ReprPC
chr15	89915201	89921200	6000	*	5	Promoter (2-3kb)	15	89895006	89912952	17947	2	348110	ENST00000357484.10	-2249	ENSG00000242498	ARPIN	actin related protein 2/3 complex inhibitor	16_ReprPC
chr15	93613001	93615600	2600	*	1	Intron (ENST00000554318.2/107983974, intron 3 of 3)	15	93592686	93760886	168201	1	107983974	ENST00000653322.1	20315	NA	LOC107983974	uncharacterized LOC107983974	16_ReprPC
chr15	96858601	96869800	11200	*	1	Distal Intergenic	15	96783487	96785608	2122	1	145946	ENST00000560327.1	75114	ENSG00000185594	SPATA8	spermatogenesis associated 8	16_ReprPC
chr15	96876801	96899800	23000	*	2	Distal Intergenic	15	96783487	96785608	2122	1	145946	ENST00000560327.1	93314	ENSG00000185594	SPATA8	spermatogenesis associated 8	16_ReprPC
chr15	96902001	96916800	14800	*	1	Distal Intergenic	15	96783487	96785608	2122	1	145946	ENST00000560327.1	118514	ENSG00000185594	SPATA8	spermatogenesis associated 8	16_ReprPC
chr15	96953201	96966400	13200	*	1	Distal Intergenic	15	96783487	96785608	2122	1	145946	ENST00000560327.1	169714	ENSG00000185594	SPATA8	spermatogenesis associated 8	16_ReprPC
chr15	101082201	101088800	6600	*	1	Promoter (<=1kb)	15	101050732	101086066	35335	2	105371026	ENST00000559857.1	0	NA	LOC105371026	uncharacterized LOC105371026	16_ReprPC
chr15	101305401	101307000	1600	*	1	Promoter (1-2kb)	15	101305231	101308940	3710	2	5046	ENST00000559430.1	1940	ENSG00000140479	PCSK6	proprotein convertase subtilisin/kexin type 6	16_ReprPC
chr15	101414001	101419200	5200	*	1	Intron (ENST00000398185.6/5046, intron 5 of 18)	15	101289784	101393388	103605	2	5046	ENST00000677364.1	-20613	ENSG00000140479	PCSK6	proprotein convertase subtilisin/kexin type 6	16_ReprPC
chr15	102023401	102037600	14200	*	1	Distal Intergenic	15	101976558	101979093	2536	2	100288486	ENST00000562189.1	-44308	ENSG00000248472	DDX11L9	DEAD/H-box helicase 11 like 9 (pseudogene)	16_ReprPC
chr16	1026001	1030600	4600	*	1	Distal Intergenic	16	991151	1000926	9776	2	107984898	ENST00000599946.2	-25075	NA	LOC107984898	uncharacterized LOC107984898	16_ReprPC
chr16	1349801	1350800	1000	*	1	Promoter (<=1kb)	16	1349426	1351473	2048	2	115939	ENST00000566296.1	673	ENSG00000007520	TSR3	TSR3 ribosome maturation factor	16_ReprPC
chr16	2028401	2032800	4400	*	3	Promoter (<=1kb)	16	2029527	2038165	8639	1	9351	ENST00000563587.5	0	ENSG00000065054	SLC9A3R2	SLC9A3 regulator 2	16_ReprPC
chr16	2285201	2286400	1200	*	2	Promoter (1-2kb)	16	2281393	2283972	2580	2	21	ENST00000569062.1	-1229	ENSG00000167972	ABCA3	ATP binding cassette subfamily A member 3	16_ReprPC
chr16	2286801	2289400	2600	*	6	Promoter (2-3kb)	16	2281393	2283972	2580	2	21	ENST00000569062.1	-2829	ENSG00000167972	ABCA3	ATP binding cassette subfamily A member 3	16_ReprPC
chr16	5030001	5032800	2800	*	1	Promoter (<=1kb)	16	5024872	5030158	5287	2	51172	ENST00000564397.5	0	ENSG00000103174	NAGPA	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	16_ReprPC
chr16	6067201	6071800	4600	*	2	Intron (ENST00000569895.3/54715, intron 4 of 6)	16	6019703	7709781	1690079	1	54715	ENST00000422070.8	47498	ENSG00000078328	RBFOX1	RNA binding fox-1 homolog 1	16_ReprPC
chr16	7363801	7365200	1400	*	1	Intron (ENST00000641259.1/54715, intron 7 of 19)	16	7332845	7713340	380496	1	54715	ENST00000355637.9	30956	ENSG00000078328	RBFOX1	RNA binding fox-1 homolog 1	16_ReprPC
chr16	10911001	10913600	2600	*	5	Promoter (2-3kb)	16	10915646	10917010	1365	1	4261	ENST00000572665.1	-2046	ENSG00000179583	CIITA	class II major histocompatibility complex transactivator	16_ReprPC
chr16	11619001	11621800	2800	*	1	Intron (ENST00000576036.5/9516, intron 1 of 3)	16	11549613	11629210	79598	2	9516	ENST00000576036.5	7410	ENSG00000189067	LITAF	lipopolysaccharide induced TNF factor	16_ReprPC
chr16	12991601	13000800	9200	*	1	Intron (ENST00000558583.3/729993, intron 2 of 4)	16	13082380	13235293	152914	1	729993	ENST00000566106.1	-81580	ENSG00000237515	SHISA9	shisa family member 9	16_ReprPC
chr16	14397601	14404400	6800	*	1	Distal Intergenic	16	14363109	14370266	7158	2	105447648	ENST00000566054.1	-27335	ENSG00000260009	LINC02130	long intergenic non-protein coding RNA 2130	16_ReprPC
chr16	17568801	17570600	1800	*	1	Distal Intergenic	16	17101769	17470960	369192	2	64131	ENST00000261381.7	-97841	ENSG00000103489	XYLT1	xylosyltransferase 1	16_ReprPC
chr16	49498201	49500200	2000	*	3	Intron (ENST00000561648.5/23090, intron 8 of 8)	16	49517762	49518601	840	2	1596	ENST00000569937.2	18401	ENSG00000260089	ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	16_ReprPC
chr16	51176401	51194400	18000	*	6	Exon (ENST00000642450.1/107984886, exon 2 of 4)	16	51152125	51356666	204542	1	107984886	ENST00000643626.1	24276	NA	LOC107984886	uncharacterized LOC107984886	16_ReprPC
chr16	54321601	54329800	8200	*	3	Distal Intergenic	16	54283304	54286787	3484	2	79191	ENST00000329734.4	-34814	ENSG00000177508	IRX3	iroquois homeobox 3	16_ReprPC
chr16	54966401	54970400	4000	*	4	Distal Intergenic	16	54932072	54934069	1998	1	10265	ENST00000558597.1	34329	ENSG00000176842	IRX5	iroquois homeobox 5	16_ReprPC
chr16	54972201	54982600	10400	*	1	Distal Intergenic	16	54932072	54934069	1998	1	10265	ENST00000558597.1	40129	ENSG00000176842	IRX5	iroquois homeobox 5	16_ReprPC
chr16	58061401	58063200	1800	*	1	Distal Intergenic	16	58040165	58040867	703	1	4324	ENST00000570065.1	21236	ENSG00000102996	MMP15	matrix metallopeptidase 15	16_ReprPC
chr16	62066001	62072600	6600	*	1	Distal Intergenic	16	62021160	62037035	15876	2	1006	ENST00000584506.1	-28966	ENSG00000150394	CDH8	cadherin 8	16_ReprPC
chr16	66453601	66461400	7800	*	1	Intron (ENST00000536005.7/146227, intron 2 of 4)	16	66469714	66485503	15790	1	146227	ENST00000564819.5	-8314	ENSG00000166546	BEAN1	brain expressed associated with NEDD4 1	16_ReprPC
chr16	69432401	69434800	2400	*	1	Intron (ENST00000514123.5/80777, intron 1 of 2)	16	69424849	69459572	34724	1	80777	ENST00000568342.2	7552	ENSG00000103018	CYB5B	cytochrome b5 type B	16_ReprPC
chr16	77466201	77471800	5600	*	1	Distal Intergenic	16	77355951	77435034	79084	2	170692	ENST00000449265.2	-31167	ENSG00000140873	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	16_ReprPC
chr16	85239601	85240800	1200	*	1	Intron (ENST00000637419.1/23199, intron 1 of 2)	16	85227203	85309176	81974	1	107984830	ENST00000653746.1	12398	NA	LOC107984830	uncharacterized LOC107984830	16_ReprPC
chr16	85291601	85293400	1800	*	1	Intron (ENST00000637419.1/23199, intron 1 of 2)	16	85282958	85285963	3006	1	197196	ENST00000366314.4	8643	ENSG00000179219	LINC00311	long intergenic non-protein coding RNA 311	16_ReprPC
chr16	85844001	85848200	4200	*	2	Exon (ENST00000665365.1/ENST00000665365.1, exon 1 of 2)	16	85805069	85807031	1963	1	1327	ENST00000562929.1	38932	ENSG00000131143	COX4I1	cytochrome c oxidase subunit 4I1	16_ReprPC
chr16	88588401	88593000	4600	*	2	Promoter (1-2kb)	16	88586617	88623270	36654	1	124245	ENST00000567085.1	1784	ENSG00000158545	ZC3H18	zinc finger CCCH-type containing 18	16_ReprPC
chr16	89069201	89070000	800	*	1	Distal Intergenic	16	89088375	89114473	26099	1	197322	ENST00000537895.5	-18375	ENSG00000176715	ACSF3	acyl-CoA synthetase family member 3	16_ReprPC
chr17	151601	154600	3000	*	1	Intron (ENST00000613549.3/8447, intron 6 of 8)	17	156019	162172	6154	2	8447	ENST00000343572.8	7572	ENSG00000272636	DOC2B	double C2 domain beta	16_ReprPC
chr17	3438801	3439800	1000	*	2	Distal Intergenic	17	3432870	3433841	972	2	8388	ENST00000248384.1	-4960	ENSG00000127780	OR1E2	olfactory receptor family 1 subfamily E member 2	16_ReprPC
chr17	4488001	4492200	4200	*	2	Promoter (2-3kb)	17	4485017	4487862	2846	1	201305	ENST00000575796.1	2984	ENSG00000182557	SPNS3	sphingolipid transporter 3 (putative)	16_ReprPC
chr17	4647201	4648600	1400	*	2	Distal Intergenic	17	4631486	4642294	10809	2	246	ENST00000570836.6	-4907	ENSG00000161905	ALOX15	arachidonate 15-lipoxygenase	16_ReprPC
chr17	7284601	7287000	2400	*	1	Promoter (2-3kb)	17	7282130	7286167	4038	1	6517	ENST00000424875.2	2471	ENSG00000181856	SLC2A4	solute carrier family 2 member 4	16_ReprPC
chr17	7606401	7608000	1600	*	1	Promoter (2-3kb)	17	7602733	7604066	1334	2	9513	ENST00000576693.1	-2335	ENSG00000129245	FXR2	FMR1 autosomal homolog 2	16_ReprPC
chr17	7608601	7612600	4000	*	1	Promoter (1-2kb)	17	7614064	7633354	19291	1	6462	ENST00000570547.5	-1464	ENSG00000129214	SHBG	sex hormone binding globulin	16_ReprPC
chr17	11500201	11503600	3400	*	4	Intron (ENST00000441885.8/388336, intron 3 of 5)	17	11598470	11612833	14364	1	1770	ENST00000579828.5	-94870	ENSG00000007174	DNAH9	dynein axonemal heavy chain 9	16_ReprPC
chr17	28565201	28567400	2200	*	2	Promoter (1-2kb)	17	28558502	28563661	5160	2	94005	ENST00000580968.5	-1540	ENSG00000087111	PIGS	phosphatidylinositol glycan anchor biosynthesis class S	16_ReprPC
chr17	29715001	29718000	3000	*	1	Exon (ENST00000493028.1/ENST00000493028.1, exon 1 of 1)	17	29673840	29761390	87551	2	85464	ENST00000324677.12	43390	ENSG00000141298	SSH2	slingshot protein phosphatase 2	16_ReprPC
chr17	31252201	31254800	2600	*	1	3' UTR	17	31272013	31273622	1610	2	101927057	ENST00000584094.1	18822	ENSG00000126861	LOC101927057	uncharacterized LOC101927057	16_ReprPC
chr17	32480001	32487400	7400	*	1	Promoter (<=1kb)	17	32480078	32480962	885	1	5717	ENST00000469475.1	0	ENSG00000108671	PSMD11	proteasome 26S subunit, non-ATPase 11	16_ReprPC
chr17	32751601	32754000	2400	*	1	Promoter (1-2kb)	17	32721106	32755518	34413	2	4642	ENST00000577252.5	1518	ENSG00000176658	MYO1D	myosin ID	16_ReprPC
chr17	33817401	33822800	5400	*	1	Intron (ENST00000359872.6/40, intron 1 of 9)	17	33935444	33984374	48931	2	107985038	ENST00000584758.2	161574	NA	LOC107985038	uncharacterized LOC107985038	16_ReprPC
chr17	35080601	35088800	8200	*	1	Promoter (<=1kb)	17	35021506	35088835	67330	2	117584	ENST00000414419.6	35	ENSG00000092871	RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase	16_ReprPC
chr17	36717001	36719800	2800	*	1	Promoter (2-3kb)	17	36722443	36726346	3904	1	105371750	ENST00000610398.2	-2643	NA	LOC105371750	uncharacterized LOC105371750	16_ReprPC
chr17	36744801	36747000	2200	*	1	Distal Intergenic	17	36722503	36726295	3793	1	105371750	ENST00000662436.1	22298	NA	LOC105371750	uncharacterized LOC105371750	16_ReprPC
chr17	36823801	36830000	6200	*	1	Distal Intergenic	17	36722503	36726295	3793	1	105371750	ENST00000662436.1	101298	NA	LOC105371750	uncharacterized LOC105371750	16_ReprPC
chr17	37304601	37307400	2800	*	1	Intron (ENST00000616317.5/31, intron 3 of 55)	17	37086817	37299767	212951	2	31	ENST00000617649.4	-4834	ENSG00000278540	ACACA	acetyl-CoA carboxylase alpha	16_ReprPC
chr17	37747801	37762000	14200	*	1	Promoter (2-3kb)	17	37687172	37745059	57888	2	6928	ENST00000621123.4	-2742	ENSG00000275410	HNF1B	HNF1 homeobox B	16_ReprPC
chr17	37762801	37768600	5800	*	1	Distal Intergenic	17	37687172	37745059	57888	2	6928	ENST00000621123.4	-17742	ENSG00000275410	HNF1B	HNF1 homeobox B	16_ReprPC
chr17	37854401	37856600	2200	*	3	Promoter (<=1kb)	17	37828305	37855212	26908	2	284100	ENST00000617508.4	0	ENSG00000276715	YWHAEP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7	16_ReprPC
chr17	37896001	37900400	4400	*	4	Distal Intergenic	17	37842949	37884743	41795	2	284100	ENST00000620903.2	-11258	ENSG00000276715	YWHAEP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7	16_ReprPC
chr17	38516201	38518600	2400	*	2	Distal Intergenic	17	38500333	38510118	9786	1	57636	ENST00000618325.1	15868	ENSG00000275832	ARHGAP23	Rho GTPase activating protein 23	16_ReprPC
chr17	40575601	40577800	2200	*	1	Distal Intergenic	17	40553769	40565472	11704	2	1236	ENST00000246657.2	-10129	ENSG00000126353	CCR7	C-C motif chemokine receptor 7	16_ReprPC
chr17	40931401	40932400	1000	*	1	5' UTR	17	40929676	40936390	6715	2	25984	ENST00000584517.1	3990	ENSG00000108244	KRT23	keratin 23	16_ReprPC
chr17	40932601	40935800	3200	*	2	Promoter (<=1kb)	17	40929676	40936390	6715	2	25984	ENST00000584517.1	590	ENSG00000108244	KRT23	keratin 23	16_ReprPC
chr17	41822001	41822800	800	*	1	Promoter (1-2kb)	17	41820443	41822540	2098	1	60681	ENST00000464180.1	1558	ENSG00000141756	FKBP10	FKBP prolyl isomerase 10	16_ReprPC
chr17	41985801	41987800	2000	*	1	Promoter (<=1kb)	17	41976495	41986067	9573	2	7266	ENST00000590197.2	0	ENSG00000168259	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	16_ReprPC
chr17	43062601	43068000	5400	*	1	3' UTR	17	43067274	43071066	3793	2	672	ENST00000472490.1	3066	ENSG00000012048	BRCA1	BRCA1 DNA repair associated	16_ReprPC
chr17	44924601	44929000	4400	*	1	3' UTR	17	44932322	44933976	1655	2	146909	ENST00000585687.1	4976	ENSG00000186185	KIF18B	kinesin family member 18B	16_ReprPC
chr17	45794801	45796800	2000	*	1	Intron (ENST00000634540.1/104909134, intron 3 of 14)	17	45784569	45830940	46372	1	1394	ENST00000582766.5	10232	ENSG00000120088	CRHR1	corticotropin releasing hormone receptor 1	16_ReprPC
chr17	45867801	45873000	5200	*	1	Intron (ENST00000634876.1/100128977, intron 1 of 6)	17	45894527	46024655	130129	1	4137	ENST00000680674.1	-21527	ENSG00000186868	MAPT	microtubule associated protein tau	16_ReprPC
chr17	46231601	46234400	2800	*	4	Distal Intergenic	17	46029916	46225389	195474	2	284058	ENST00000574590.6	-6212	ENSG00000120071	KANSL1	KAT8 regulatory NSL complex subunit 1	16_ReprPC
chr17	46657001	46659400	2400	*	1	Intron (ENST00000398238.8/4905, intron 8 of 20)	17	46624036	46756059	132024	1	4905	ENST00000575068.5	32965	ENSG00000073969	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	16_ReprPC
chr17	46667801	46670600	2800	*	4	Intron (ENST00000398238.8/4905, intron 8 of 20)	17	46713149	46751583	38435	1	4905	ENST00000576346.5	-42549	ENSG00000073969	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	16_ReprPC
chr17	46692001	46702600	10600	*	2	Exon (ENST00000398238.8/4905, exon 10 of 21)	17	46713149	46751583	38435	1	4905	ENST00000576346.5	-10549	ENSG00000073969	NSF	N-ethylmaleimide sensitive factor, vesicle fusing ATPase	16_ReprPC
chr17	46802001	46831800	29800	*	1	Promoter (<=1kb)	17	46762506	46818692	56187	2	7473	ENST00000225512.6	0	ENSG00000108379	WNT3	Wnt family member 3	16_ReprPC
chr17	47963401	47968200	4800	*	1	Promoter (<=1kb)	17	47967810	47975337	7528	1	80279	ENST00000579632.5	0	ENSG00000108465	CDK5RAP3	CDK5 regulatory subunit associated protein 3	16_ReprPC
chr17	48050201	48055400	5200	*	1	Promoter (<=1kb)	17	48054328	48056444	2117	1	4779	ENST00000579537.5	0	ENSG00000082641	NFE2L1	nuclear factor, erythroid 2 like 1	16_ReprPC
chr17	48191801	48194400	2600	*	3	Intron (ENST00000582246.1/ENST00000582246.1, intron 1 of 2)	17	48180092	48185179	5088	2	8631	ENST00000579336.1	-6622	ENSG00000141293	SKAP1	src kinase associated phosphoprotein 1	16_ReprPC
chr17	48275201	48277000	1800	*	1	Intron (ENST00000336915.11/8631, intron 4 of 12)	17	48294335	48307666	13332	1	105371807	ENST00000621191.1	-17335	ENSG00000235300	SKAP1-AS2	SKAP1 antisense RNA 2	16_ReprPC
chr17	50232801	50238600	5800	*	1	Exon (ENST00000511179.1/ENST00000511179.1, exon 1 of 1)	17	50208972	50215809	6838	1	101927230	ENST00000657387.1	23829	NA	LINC01969	long intergenic non-protein coding RNA 1969	16_ReprPC
chr17	53343201	53352600	9400	*	1	Intron (ENST00000650577.1/107985001, intron 6 of 6)	17	52985520	52987652	2133	1	100506650	ENST00000623702.1	357681	ENSG00000227011	LINC02876	long intergenic non-protein coding RNA 2876	16_ReprPC
chr17	59490601	59494000	3400	*	1	Intron (ENST00000665301.1/101927728, intron 2 of 2)	17	59429163	59526649	97487	2	101927728	ENST00000671404.1	32649	NA	LINC01476	long intergenic non-protein coding RNA 1476	16_ReprPC
chr17	59530001	59534400	4400	*	6	Distal Intergenic	17	59429143	59526946	97804	2	101927728	ENST00000584262.6	-3055	NA	LINC01476	long intergenic non-protein coding RNA 1476	16_ReprPC
chr17	59534601	59543200	8600	*	1	Exon (ENST00000364019.1/ENST00000364019.1, exon 1 of 1)	17	59429143	59526946	97804	2	101927728	ENST00000584262.6	-7655	NA	LINC01476	long intergenic non-protein coding RNA 1476	16_ReprPC
chr17	70106201	70125400	19200	*	2	Promoter (1-2kb)	17	70105000	70132194	27195	1	3773	ENST00000587892.1	1201	ENSG00000153822	KCNJ16	potassium inwardly rectifying channel subfamily J member 16	16_ReprPC
chr17	71338801	71339400	600	*	1	Distal Intergenic	17	71098834	71202203	103370	2	101928165	ENST00000662323.1	-136598	ENSG00000260785	CASC17	cancer susceptibility 17	16_ReprPC
chr17	72344601	72350200	5600	*	1	Promoter (1-2kb)	17	72342940	72355136	12197	1	146795	ENST00000577573.1	1661	ENSG00000264026	LINC02003	long intergenic non-protein coding RNA 2003	16_ReprPC
chr17	72354001	72358800	4800	*	2	Exon (ENST00000664653.1/146795, exon 4 of 5)	17	72342940	72355136	12197	1	146795	ENST00000577573.1	11061	ENSG00000264026	LINC02003	long intergenic non-protein coding RNA 2003	16_ReprPC
chr17	72896201	72901600	5400	*	2	Intron (ENST00000255559.7/201266, intron 5 of 9)	17	72821605	72849804	28200	2	201266	ENST00000583715.5	-46397	ENSG00000133195	SLC39A11	solute carrier family 39 member 11	16_ReprPC
chr17	72927401	72938000	10600	*	2	Intron (ENST00000255559.7/201266, intron 5 of 9)	17	72823698	72992932	169235	2	201266	ENST00000584129.1	54932	ENSG00000133195	SLC39A11	solute carrier family 39 member 11	16_ReprPC
chr17	74134201	74136200	2000	*	1	Intron (ENST00000584003.1/102723567, intron 1 of 4)	17	74064357	74154212	89856	2	102723567	ENST00000584003.1	18012	NA	LINC02074	long intergenic non-protein coding RNA 2074	16_ReprPC
chr17	74836201	74839000	2800	*	3	3' UTR	17	74843364	74859872	16509	2	2905	ENST00000584176.1	20872	ENSG00000161509	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	16_ReprPC
chr17	74863001	74864200	1200	*	1	Promoter (1-2kb)	17	74852074	74861504	9431	2	2905	ENST00000578159.1	-1497	ENSG00000161509	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C	16_ReprPC
chr17	75690601	75695800	5200	*	1	Promoter (<=1kb)	17	75691570	75706774	15205	1	29115	ENST00000580601.5	0	ENSG00000161526	SAP30BP	SAP30 binding protein	16_ReprPC
chr17	77719801	77727000	7200	*	1	Promoter (1-2kb)	17	77722872	77728559	5688	2	100132174	ENST00000593118.1	1559	ENSG00000267790	LINC01987	long intergenic non-protein coding RNA 1987	16_ReprPC
chr17	77760001	77763400	3400	*	1	Distal Intergenic	17	77722872	77728559	5688	2	100132174	ENST00000593118.1	-31442	ENSG00000267790	LINC01987	long intergenic non-protein coding RNA 1987	16_ReprPC
chr17	77766001	77766800	800	*	4	Distal Intergenic	17	77722872	77728559	5688	2	100132174	ENST00000593118.1	-37442	ENSG00000267790	LINC01987	long intergenic non-protein coding RNA 1987	16_ReprPC
chr18	4451401	4457000	5600	*	1	Promoter (<=1kb)	18	3496032	4455307	959276	2	9229	ENST00000315677.8	0	ENSG00000170579	DLGAP1	DLG associated protein 1	16_ReprPC
chr18	5881601	5890800	9200	*	1	3' UTR	18	5882072	5895955	13884	2	645369	ENST00000581347.2	5155	ENSG00000206432	TMEM200C	transmembrane protein 200C	16_ReprPC
chr18	5891601	5895000	3400	*	1	Promoter (<=1kb)	18	5882072	5895955	13884	2	645369	ENST00000581347.2	955	ENSG00000206432	TMEM200C	transmembrane protein 200C	16_ReprPC
chr18	12251201	12258200	7000	*	5	Promoter (<=1kb)	18	12254361	12277593	23233	1	1149	ENST00000522713.5	0	ENSG00000176194	CIDEA	cell death inducing DFFA like effector a	16_ReprPC
chr18	18822401	18830000	7600	*	1	Distal Intergenic	18	20953290	20954870	1581	2	6093	ENST00000578051.1	2124870	ENSG00000067900	ROCK1	Rho associated coiled-coil containing protein kinase 1	16_ReprPC
chr18	20712201	20714600	2400	*	2	Distal Intergenic	18	20953290	20954870	1581	2	6093	ENST00000578051.1	240270	ENSG00000067900	ROCK1	Rho associated coiled-coil containing protein kinase 1	16_ReprPC
chr18	20717401	20719200	1800	*	2	Distal Intergenic	18	20953290	20954870	1581	2	6093	ENST00000578051.1	235670	ENSG00000067900	ROCK1	Rho associated coiled-coil containing protein kinase 1	16_ReprPC
chr18	28623001	28627200	4200	*	1	Distal Intergenic	18	27951655	28177946	226292	2	1000	ENST00000676445.1	-445055	ENSG00000170558	CDH2	cadherin 2	16_ReprPC
chr18	35140601	35146600	6000	*	1	3' UTR	18	35131918	35140497	8580	1	10982	ENST00000588085.1	8683	ENSG00000166974	MAPRE2	microtubule associated protein RP/EB family member 2	16_ReprPC
chr18	44762601	44793400	30800	*	1	Intron (ENST00000426838.8/26040, intron 2 of 3)	18	44701338	44872146	170809	1	26040	ENST00000645568.1	61263	ENSG00000152217	SETBP1	SET binding protein 1	16_ReprPC
chr18	49864801	49870800	6000	*	2	Intron (ENST00000285039.12/4645, intron 27 of 39)	18	49863262	49876283	13022	2	4645	ENST00000587895.1	5483	ENSG00000167306	MYO5B	myosin VB	16_ReprPC
chr18	52494401	52495200	800	*	1	Intron (ENST00000442544.7/1630, intron 1 of 28)	18	52340197	53535899	1195703	1	1630	ENST00000442544.7	154204	ENSG00000187323	DCC	DCC netrin 1 receptor	16_ReprPC
chr18	56930001	56932400	2400	*	2	Intron (ENST00000589935.1/23335, intron 1 of 1)	18	56935844	57020822	84979	1	23335	ENST00000591449.1	-3444	ENSG00000091157	WDR7	WD repeat domain 7	16_ReprPC
